Sample,Total length,Segment,Width,Colour,dwt mg
72C-1.1,6.2,2,W,A,3.5
72C-1.1,6.2,3,W,A,3.7
72C-1.1,6.2,4,W,A,3.8
72C-1.1,6.2,5,W,A,4
72C-1.1,6.2,6,W,A,2
72C-1.0,4.8,1,N,A,3
72C-1.0,4.8,2,W,A,4.3
72C-1.0,4.8,3,W,A,3.9
72C-1.0,4.8,4,W,A,5.8
72C-1.0,4.4,1,W,A,3.7
72C-1.0,4.4,2,W,A,3.7
72C-1.0,4.4,3,W,A,2.7
72C-1.0,4.4,4,W,A,2
72C-1.0,8.1,1,W,A,1.9
72C-1.0,8.1,2,W,A,3.2
72C-1.0,8.1,3,W,A,3.5
72C-1.0,8.1,4,W,A,2.9
72C-1.0,8.1,5,W,A,2.1
72C-1.0,8.1,6,W,D,0.9
72C-1.0,8.1,7,W,A,1.4
72C-1.0,8.1,8,N,A,1
82A-4.1,8.8,1,W,A,3.2
82A-4.1,8.8,2,W,A,4.4
82A-4.1,8.8,3,W,A,4.6
82A-4.1,8.8,4,W,A,5.3
82A-4.1,8.8,5,W,A,6.7
82A-4.1,8.8,6,W,A,3.6
82A-4.1,8.8,7,W,A,3.5
82A-4.1,8.8,8,W,A,2.5
82A-4.1,4.4,1,W,A,3.9
82A-4.1,4.4,2,W,A,7.9
82A-4.1,4.4,3,W,A,6.5
82A-4.1,4.4,4,W,A,7.6
82A-4.1,7.2,1,W,A,5.1
82A-4.1,7.2,2,W,A,6.1
82A-4.1,7.2,3,W,A,5.2
82A-4.1,7.2,4,W,A,7.8
82A-4.1,7.2,5,W,A,6.8
82A-4.1,7.2,6,W,B,5.2
82A-4.1,7.2,7,W,B,5.8
82A-4.0,5.8,1,N,A,2.3
82A-4.0,5.8,2,W,A,2.8
82A-4.0,5.8,3,W,A,2.2
82A-4.0,5.8,4,N,A,1.4
82A-4.0,5.8,5,N,B,1.6
82A-4.0,7.7,1,W,A,2.9
