Treatment,Block,t-point,Warming,Frag,pos,tin,Total WET,Total DRY,wwt,dwt,%H2O,Moisture Contents,Notes
34B-3.0,3,4,B,3,0,166.44,246.00,178.53,79.56,12.09,558.06
34B-3.1,3,4,B,3,1,164.99,266.95,177.30,101.96,12.31,728.27
34B-3.S,3,4,B,3,S,167.35,265.38,180.38,98.03,13.03,652.34
34B-3.W,3,4,B,3,W,166.43,260.28,179.93,93.85,13.50,595.19
34B-4.0,3,4,B,4,0,167.85,282.31,180.25,114.46,12.40,823.06
34B-4.1,3,4,B,4,1,166.62,269.74,179.17,103.12,12.55,721.67
34B-4.S,3,4,B,4,S,165.81,236.67,176.15,70.86,10.34,585.30
34B-4.E,3,4,B,4,E,166.06,264.26,177.69,98.20,11.63,744.37
34C-1.0,3,4,C,1,0,168.99,258.10,186.42,89.11,17.43,411.24
34C-1.1,3,4,C,1,1,164.59,333.81,187.07,169.22,22.48,652.76
34C-1.N,3,4,C,1,N,165.57,313.89,191.89,148.32,26.32,463.53
34C-1.W,3,4,C,1,W,166.97,287.76,184.17,120.79,17.20,602.27
34C-2.0,3,4,C,2,0,166.35,184.39,177.28,18.04,10.93,65.05
34C-2.1,3,4,C,2,1,167.58,257.34,178.56,89.76,10.98,717.49
34C-2.S,3,4,C,2,S,167.22,271.89,179.01,104.67,11.79,787.79
34C-2.E,3,4,C,2,E,167.72,257.75,179.08,90.03,11.36,692.52
34C-3.0,3,4,C,3,0,166.88,195.45,177.16,28.57,10.28,177.92
34C-3.1,3,4,C,3,1,166.58,244.38,176.13,77.80,9.55,714.66
34C-3.S,3,4,C,3,S,166.33,271.53,179.03,105.20,12.70,728.35
34C-3.W,3,4,C,3,W,164.75,263.91,176.91,99.16,12.16,715.46
34C-4.0,3,4,C,4,0,165.68,186.66,179.75,20.98,14.07,49.11
34C-4.1,3,4,C,4,1,164.69,245.30,175.07,80.61,10.38,676.59
34C-4.N,3,4,C,4,N,165.27,182.49,173.23,17.22,7.96,116.33
34C-4.E,3,4,C,4,E,164.60,198.68,177.21,34.08,12.61,170.26
44A-1.0,4,4,A,1,0,165.84,310.38,184.90,144.54,19.06,658.34
44A-1.1,4,4,A,1,1,165.92,278.22,180.82,112.30,14.90,653.69
44A-1.S,4,4,A,1,S,166.60,187.81,182.20,21.21,15.60,35.96
44A-1.E,4,4,A,1,E,166.25,293.40,183.11,127.15,16.86,654.15
44A-2.0,4,4,A,2,0,164.39,219.02,175.31,54.63,10.92,400.27
44A-2.1,4,4,A,2,1,164.69,216.20,174.41,51.51,9.72,429.94
44A-2.N,4,4,A,2,N,166.66,234.43,179.66,67.77,13.00,421.31
44A-2.E,4,4,A,2,E,166.45,237.58,178.75,71.13,12.30,478.29
44A-3.0,4,4,A,3,0,166.42,246.40,180.11,79.98,13.69,484.22
44A-3.1,4,4,A,3,1,164.91,245.51,178.82,80.60,13.91,479.44
44A-3.N,4,4,A,3,N,167.28,279.65,186.69,112.37,19.41,478.93
44A-3.W,4,4,A,3,W,166.44,237.38,179.10,70.94,12.66,460.35
44A-4.0,4,4,A,4,0,165.80,256.14,179.80,90.34,14.00,545.29
44A-4.1,4,4,A,4,1,167.85,267.90,182.06,100.05,14.21,604.08
44A-4.S,4,4,A,4,S,166.61,256.68,181.86,90.07,15.25,490.62
44A-4.W,4,4,A,4,W,164.57,237.66,178.37,73.09,13.80,429.64,,
44B-1.0,4,4,B,1,0,168.96,297.06,188.75,128.10,19.79,547.30,,
44B-1.1,4,4,B,1,1,166.03,298.74,181.78,132.71,15.75,742.58,,
44B-1.N,4,4,B,1,N,166.96,295.44,183.36,128.48,16.40,683.41,,
44B-1.E,4,4,B,1,E,166.33,261.23,180.36,94.90,14.03,576.41,,
44B-2.0,4,4,B,2,0,165.50,210.36,175.60,44.86,10.10,344.16,,
44B-2.1,4,4,B,2,1,166.60,274.12,182.74,107.52,16.14,566.17,,
44B-2.S,4,4,B,2,S,167.56,218.33,178.40,50.77,10.84,368.36,,bulb out
44B-2.W,4,4,B,2,W,167.70,232.92,181.62,65.22,13.92,368.53,,
44B-3.0,4,4,B,3,0,164.76,252.09,180.74,87.33,15.98,446.50,,
44B-3.1,4,4,B,3,1,166.85,246.61,180.35,79.76,13.50,490.81,,
44B-3.N,4,4,B,3,N,166.33,238.34,180.96,72.01,14.63,392.21,,bulb out
44B-3.W,4,4,B,3,W,168.20,249.63,184.31,81.43,16.11,405.46,,
44B-4.0,4,4,B,4,0,165.89,252.98,179.34,87.09,13.45,547.51,,
44B-4.1,4,4,B,4,1,165.25,291.95,180.32,126.70,15.07,740.74,,
44B-4.S,4,4,B,4,S,164.59,253.75,178.52,89.16,13.93,540.06,,
44B-4.E,4,4,B,4,E,164.67,203.19,178.32,38.52,13.65,182.20
44C-1.0,4,4,C,1,0,167.32,325.71,192.88,158.39,25.56,519.68
44C-1.1,4,4,C,1,1,164.97,366.07,204.22,201.10,39.25,412.36
44C-1.S,4,4,C,1,S,166.41,381.96,210.44,215.55,44.03,389.55
44C-1.W,4,4,C,1,W,166.60,313.99,190.42,147.39,23.82,518.77
44C-2.0,4,4,C,2,0,166.47,178.51,176.97,12.04,10.50,14.67
44C-2.1,4,4,C,2,1,164.66,253.81,178.78,89.15,14.12,531.37
44C-2.S,4,4,C,2,S,164.34,203.18,174.22,38.84,9.88,293.12
44C-2.E,4,4,C,2,E,166.25,265.58,186.88,99.33,20.63,381.48
44C-3.0,4,4,C,3,0,165.81,200.65,181.96,34.84,16.15,115.73
44C-3.1,4,4,C,3,1,166.56,248.01,180.87,81.45,14.31,469.18
44C-3.N,4,4,C,3,N,165.89,258.04,181.08,92.15,15.19,506.65
44C-3.W,4,4,C,3,W,166.34,239.65,181.61,73.31,15.27,380.09
44C-4.0,4,4,C,4,0,166.95,192.21,189.11,25.26,22.16,13.99
44C-4.1,4,4,C,4,1,165.55,279.50,182.36,113.95,16.81,577.87
44C-4.N,4,4,C,4,N,168.97,258.06,184.67,89.09,15.70,467.45
44C-4.E,4,4,C,4,E,166.04,258.48,187.14,92.44,21.10,338.10
54A-1.0,5,4,A,1,0,166.48,285.50,182.18,119.02,15.70,658.09
54A-1.1,5,4,A,1,1,166.25,305.72,184.72,139.47,18.47,655.12
54A-1.S,5,4,A,1,S,164.69,300.02,182.09,135.33,17.40,677.76
54A-1.W,5,4,A,1,W,167.26,272.89,180.81,105.63,13.55,679.56
54A-2.0,5,4,A,2,0,166.62,291.34,183.72,124.72,17.10,629.36
54A-2.1,5,4,A,2,1,165.83,261.02,181.05,95.19,15.22,525.43
54A-2.N,5,4,A,2,N,166.58,258.24,181.50,91.66,14.92,514.34
54A-2.W,5,4,A,2,W,165.02,238.59,177.52,73.57,12.50,488.56
54A-3.0,5,4,A,3,0,164.38,277.77,180.85,113.39,16.47,588.46
54A-3.1,5,4,A,3,1,166.51,273.03,184.09,106.52,17.58,505.92
54A-3.S,5,4,A,3,S,165.89,272.83,180.42,106.94,14.53,635.99
54A-3.E,5,4,A,3,E,166.38,295.71,181.04,129.33,14.66,782.20
54A-4.0,5,4,A,4,0,166.03,282.80,180.39,116.77,14.36,713.16
54A-4.1,5,4,A,4,1,165.58,291.77,183.30,126.19,17.72,612.13
54A-4.N,5,4,A,4,N,167.85,262.93,179.96,95.08,12.11,685.14
54A-4.E,5,4,A,4,E,166.46,259.24,182.44,92.78,15.98,480.60,,Entered as 54A-4W
54B-1.0,5,4,B,1,0,165.92,218.58,177.73,52.66,11.81,345.89,,
54B-1.1,5,4,B,1,1,164.35,311.74,189.95,147.39,25.60,475.74,,
54B-1.S,5,4,B,1,S,164.65,250.29,179.21,85.64,14.56,488.19,,
54B-1.W,5,4,B,1,W,166.24,239.46,179.05,73.22,12.81,471.58,,
54B-2.0,5,4,B,2,0,166.43,257.34,181.66,90.91,15.23,496.91,,
54B-2.1,5,4,B,2,1,166.48,265.05,182.47,98.57,15.99,516.45,,
54B-2.N,5,4,B,2,N,164.98,235.06,179.36,70.08,14.38,387.34,,
54B-2.W,5,4,B,2,W,166.56,235.09,182.58,68.53,16.02,327.78,,
54B-3.0,5,4,B,3,0,165.82,247.33,182.13,81.51,16.31,399.75,,
54B-3.1,5,4,B,3,1,166.58,247.51,180.24,80.93,13.66,492.46,,
54B-3.N,5,4,B,3,N,167.32,241.51,183.75,74.19,16.43,351.55,,
54B-3.E,5,4,B,3,E,165.80,239.69,178.39,73.89,12.59,486.89,,
54B-4.0,5,4,B,4,0,168.98,244.01,183.94,75.03,14.96,401.54,,
54B-4.1,5,4,B,4,1,166.45,279.71,184.92,113.26,18.47,513.21,,
54B-4.S,5,4,B,4,S,166.62,263.23,183.13,96.61,16.51,485.16,,
54B-4.E,5,4,B,4,E,164.59,261.70,179.69,97.11,15.10,543.11
54C-1.0,5,4,C,1,0,168.98,317.00,185.91,148.02,16.93,774.31
54C-1.1,5,4,C,1,1,166.99,305.19,183.38,138.20,16.39,743.20
54C-1.S,5,4,C,1,S,164.57,302.97,181.20,138.40,16.63,732.23
54C-1.W,5,4,C,1,W,166.63,323.92,184.12,157.29,17.49,799.31
