"SampleID","Block","Time","Chamber","Frag","Pos","xE","yN"
"53C-2.I","5","3","C","2","I","642170.128","6074309.957"
"53C-2.N","5","3","C","2","N","642170.128","6074310.182"
"53C-2.W","5","3","C","2","W","642169.903","6074309.957"
"53C-3.O","5","3","C","3","O","642170.578","6074309.507"
"53C-3.I","5","3","C","3","I","642170.353","6074309.732"
"53C-3.S","5","3","C","3","S","642170.353","6074309.507"
"53C-3.E","5","3","C","3","E","642170.578","6074309.732"
"53C-4.O","5","3","C","4","O","642169.903","6074309.507"
"53C-4.I","5","3","C","4","I","642170.128","6074309.732"
"53C-4.S","5","3","C","4","S","642170.128","6074309.507"
"53C-4.W","5","3","C","4","W","642169.903","6074309.732"
"63A-1.O","6","3","A","1","O","642193.403","6074384.478"
"63A-1.I","6","3","A","1","I","642193.315","6074384.567"
"63A-1.S","6","3","A","1","S","642193.315","6074384.478"
"63A-1.E","6","3","A","1","E","642193.403","6074384.567"
"63A-2.O","6","3","A","2","O","642192.796","6074384.410"
"63A-2.I","6","3","A","2","I","642193.021","6074384.635"
"63A-2.S","6","3","A","2","S","642193.021","6074384.410"
"63A-2.W","6","3","A","2","W","642192.796","6074384.635"
