"SampleID","Block","Time","Chamber","Frag","Pos","grow01","Prod01","notes01","grow12","Prod12","notes12","grow23","Prod23","notes23","mg.cm","mg.mm"
"64C-1.I","6","4","C","1","1",9.75,4.1925,"",4.16,1.7888,"",6.11,2.6273,"twin shoots",4.3,0.43
"64C-1.O","6","4","C","1","0",-1.95,-0.325,"?",1,0.166666666666667,"curly",0.25,0.0416666666666667,"dry!",1.66666666666667,0.166666666666667
"64C-1.S","6","4","C","1","S",7,2.07122572492797,"wet",6.63,1.96174665089606,"",4.6,1.36109119066695,"",2.95889389275424,0.295889389275424
"64C-2.c","6","4","C","2","c",7.57,NA,"wet",4.1,NA,"",2.29,NA,"white",NA,NA
"64C-2.c2","6","4","C","2","c2",NA,NA,"",-0.36,NA,"",0.76,NA,"black",NA,NA
"64C-2.I","6","4","C","2","1",9.3,3.47819548009645,"",10.28,3.84471500380554,"",1.53,0.572219256402965,"curly",3.73999513988866,0.373999513988866
"64C-2.N","6","4","C","2","N",NA,NA,"",3.76,1.10572532574860,"",3.46,1.01750256039632,"",2.94075884507607,0.294075884507607
"64C-2.O","6","4","C","2","0",1.03,0.245597456266558,"",-0.8,-0.190755305838103,"water-logged!",-0.35,-0.0834554463041701,"dry, broke",2.38444132297629,0.238444132297629
"64C-3.c","6","4","C","3","c",1.14,NA,"wet; 2 shoots? (2 stems)",-1.07,NA,"water-logged",0.98,NA,"multiple tips",NA,NA
"64C-3.c2","6","4","C","3","c2",NA,NA,"curly",0.82,NA,"loose, water-logged",4.17,NA,"loose",NA,NA
"64C-3.I","6","4","C","3","1",8.9,3.20282116658021,"",9.23,3.32157745702645,"water-logged",3.36,1.20915495727073,"",3.59867546806765,0.359867546806765
"64C-3.O","6","4","C","3","0",-1.7,-0.395519362841511,"dry; curled?",NA,NA,"broken, loose, water-logged",-0.44,-0.102369717441332,"dry, loose + broken",2.32658448730301,0.232658448730301
"64C-3.W","6","4","C","3","W",NA,NA,"",2.57,0.85586858731201,"water-logged",6.38,2.12468544243215,"curly",3.33022796619459,0.333022796619459
"64C-4.I","6","4","C","4","1",4.71,1.307025,"",5.22,1.44855,"water-logged",2.37,0.657675,"mostly rotten?",2.775,0.2775
"64C-4.O","6","4","C","4","0",-0.5,-0.1125,"?",-0.7,-0.1575,"water-logged",0.43,0.09675,"dry + curly",2.25,0.225
"64C-4.S","6","4","C","4","S",4.77,1.53214119837980,"wet + dry",1.52,0.488229480406143,"water-logged",0.77,0.247326776258375,"",3.21203605530357,0.321203605530357
"64C-E.I","6","4","C","E","1",NA,NA,"curly",5.21,NA,"",4.31,NA,"",NA,NA
"64C-E.O","6","4","C","E","0",NA,NA,"",-0.94,NA,"",0.6,NA,"dry",NA,NA
"64C-N.I","6","4","C","N","1",NA,NA,"",2.79,NA,"water-logged",2.29,NA,"",NA,NA
"64C-N.O","6","4","C","N","0",NA,NA,"curly",7.67,NA,"water-logged",5.58,NA,"",NA,NA
"64C-S.I","6","4","C","S","1",NA,NA,"curly",4.42,NA,"water-logged",2.86,NA,"",NA,NA
"64C-S.O","6","4","C","S","0",NA,NA,"",4.47,NA,"water-logged",-0.2,NA,"",NA,NA
"64C-W.I","6","4","C","W","1",NA,NA,"curly",4.74,NA,"water-logged",4.43,NA,"",NA,NA
"64C-W.O","6","4","C","W","0",NA,NA,"",1.9,NA,"water-logged",2.18,NA,"",NA,NA
"73A-1.E","7","3","A","1","E",NA,NA,"",5.93,NA,"",2.33,NA,"",NA,NA
"73A-1.I","7","3","A","1","1",NA,NA,"",3.52,NA,"loose knot",6.18,NA,"",NA,NA
"73A-1.O","7","3","A","1","0",NA,NA,"",3.87,NA,"curly",7.8,NA,"",NA,NA
"73A-2.c","7","3","A","2","c",NA,NA,"",3.53,NA,"curly",-0.82,NA,"broken?",NA,NA
"73A-2.I","7","3","A","2","1",NA,NA,"",3.57,NA,"curly",5.01,NA,"curly",NA,NA
"73A-2.O","7","3","A","2","0",NA,NA,"",4.51,NA,"",4.29,NA,"",NA,NA
"73A-2.S","7","3","A","2","S",NA,NA,"",3.15,NA,"",-0.63,NA,"",NA,NA
"73A-3.c","7","3","A","3","c",NA,NA,"",1.72,NA,"curly",3.99,NA,"curly",NA,NA
"73A-3.I","7","3","A","3","1",NA,NA,"curled",8.16,NA,"curly",4.57,NA,"",NA,NA
"73A-3.O","7","3","A","3","0",NA,NA,"curled",2.36,NA,"",4.7,NA,"",NA,NA
"73A-3.W","7","3","A","3","W",NA,NA,"",-0.73,NA,"curly",2.52,NA,"",NA,NA
"73A-4.I","7","3","A","4","1",NA,NA,"",4.76,NA,"",6.52,NA,"",NA,NA
"73A-4.N","7","3","A","4","N",NA,NA,"",4.91,NA,"curly",4.72,NA,"",NA,NA
"73A-4.O","7","3","A","4","0",NA,NA,"",-0.24,NA,"curly",6.07,NA,"",NA,NA
"73B-1.E","7","3","B","1","E",NA,NA,"",0.23,NA,"",2.66,NA,"",NA,NA
"73B-1.I","7","3","B","1","1",NA,NA,"",2.23,NA,"",3.14,NA,"",NA,NA
"73B-1.O","7","3","B","1","0",NA,NA,"",0.59,NA,"",0.78,NA,"dry",NA,NA
"73B-2.c","7","3","B","2","c",NA,NA,"",3.4,NA,"",0.19,NA,"",NA,NA
"73B-2.E","7","3","B","2","E",NA,NA,"",0.56,NA,"curly",0.08,NA,"",NA,NA
"73B-2.I","7","3","B","2","1",NA,NA,"",3.1,NA,"",3.55,NA,"",NA,NA
"73B-2.O","7","3","B","2","0",NA,NA,"",-0.15,NA,"loose shoot (brittle)",2.13,NA,"loose, dry + curly",NA,NA
"73B-3.c","7","3","B","3","c",NA,NA,"curled",0.56,NA,"",4.29,NA,"",NA,NA
"73B-3.I","7","3","B","3","1",NA,NA,"",4.83,NA,"",1.73,NA,"",NA,NA
"73B-3.O","7","3","B","3","0",NA,NA,"",0.83,NA,"",2.44,NA,"",NA,NA
"73B-3.S","7","3","B","3","S",NA,NA,"",1.69,NA,"",1.17,NA,"",NA,NA
"73B-4.I","7","3","B","4","1",NA,NA,"curly",4.74,NA,"",5.47,NA,"",NA,NA
"73B-4.O","7","3","B","4","0",NA,NA,"",-5.47,NA,"",0.49,NA,"",NA,NA
"73B-4.W","7","3","B","4","W",NA,NA,"curly",-0.12,NA,"",3.83,NA,"",NA,NA
"73C-1.I","7","3","C","1","1",NA,NA,"",6.95,NA,"bent, wiry, long",3.72,NA,"new tip, curly",NA,NA
"73C-1.O","7","3","C","1","0",NA,NA,"curled",-0.44,NA,"bone dry",1.11,NA,"dry + curly",NA,NA
"73C-1.S","7","3","C","1","S",NA,NA,"",4.81,NA,"",6.02,NA,"",NA,NA
"73C-2.c","7","3","C","2","c",NA,NA,"",6.02,NA,"black thread sux",7.11,NA,"",NA,NA
"73C-2.I","7","3","C","2","1",NA,NA,"",4.04,NA,"",5.35,NA,"",NA,NA
"73C-2.O","7","3","C","2","0",NA,NA,"",-0.36,NA,"broke, curly",0.94,NA,"dry + curly",NA,NA
"73C-2.S","7","3","C","2","S",NA,NA,"",4.45,NA,"",0.77,NA,"curly",NA,NA
"73C-3.c","7","3","C","3","c",NA,NA,"",1.39,NA,"",2.57,NA,"",NA,NA
"73C-3.E","7","3","C","3","E",NA,NA,"",-1.28,NA,"",1.45,NA,"",NA,NA
"73C-3.I","7","3","C","3","1",NA,NA,"",0.73,NA,"",2.1,NA,"",NA,NA
"73C-3.O","7","3","C","3","0",NA,NA,"",-0.49,NA,"curly",0.77,NA,"",NA,NA
"73C-4.I","7","3","C","4","1",NA,NA,"",1.04,NA,"",4.5,NA,"",NA,NA
"73C-4.N","7","3","C","4","N",NA,NA,"",4.16,NA,"",1.74,NA,"",NA,NA
"73C-4.O","7","3","C","4","0",NA,NA,"",-0.99,NA,"",-0.37,NA,"dry",NA,NA
"74A-1.I","7","4","A","1","1",7.48,2.2066,"",5.95,1.75525,"",5.12,1.5104,"",2.95,0.295
"74A-1.O","7","4","A","1","0",7.57,2.5738,"",NA,NA,"11.39 - error?",8.51,2.8934,"",3.4,0.34
"74A-1.S","7","4","A","1","S",9.61,3.27542074090912,"",5.52,1.88140712693219,"",4.68,1.59510604239903,"",3.40834624444237,0.340834624444237
"74A-2.c","7","4","A","2","c",3.59,NA,"",5.14,NA,"",5.91,NA,"",NA,NA
"74A-2.c2","7","4","A","2","c2",NA,NA,"",1.94,NA,"curly",6.33,NA,"",NA,NA
"74A-2.I","7","4","A","2","1",8.79,3.34924011943315,"",7.6,2.89581625798543,"",11.08,4.22179528137876,"",3.81028454998083,0.381028454998083
"74A-2.N","7","4","A","2","N",NA,NA,"",4.42,1.73492609243133,"",5.94,2.33155225996428,"",3.92517215482202,0.392517215482202
"74A-2.O","7","4","A","2","0",4.88,1.95189988186339,"",2.13,0.85195630089529,"",7.05,2.81985536211822,"",3.99979483988399,0.399979483988399
"74A-3.c","7","4","A","3","c",5.53,NA,"",1.47,NA,"",4.79,NA,"",NA,NA
"74A-3.c2","7","4","A","3","c2",NA,NA,"",2.23,NA,"",2.88,NA,"",NA,NA
"74A-3.I","7","4","A","3","1",7.51,2.86152369605947,"",NA,NA,"broken",4.06,1.54697552676451,"",3.81028454868105,0.381028454868105
"74A-3.O","7","4","A","3","0",2.25,0.899953838901905,"",4.29,1.71591198617296,"",2.46,0.98394953053275,"",3.99979483956402,0.399979483956402
"74A-3.S","7","4","A","3","S",NA,NA,"",5.69,2.2489240672954,"",7.85,3.10264568159383,"",3.95241488101125,0.395241488101125
"74A-4.I","7","4","A","4","1",8.39,4.99205,"",1,0.595,"",2.36,1.4042,"",5.95,0.595
"74A-4.N","7","4","A","4","N",7.05,2.99442858175173,"",7.38,3.13459332387628,"",4.76,2.02177021973592,"",4.24741642801664,0.424741642801664
"74A-4.O","7","4","A","4","0",5.59,1.774825,"",5.75,1.825625,"curly",9.1,2.88925,"",3.175,0.3175
"74A-E.I","7","4","A","E","1",NA,NA,"",2.78,NA,"",2.21,NA,"loose knot",NA,NA
"74A-E.O","7","4","A","E","0",NA,NA,"curly",2.81,NA,"curly",4.91,NA,"",NA,NA
"74A-N.I","7","4","A","N","1",NA,NA,"",2.78,NA,"",5.36,NA,"",NA,NA
"74A-N.O","7","4","A","N","0",NA,NA,"",-0.02,NA,"curly",6.52,NA,"",NA,NA
"74A-S.I","7","4","A","S","1",NA,NA,"",1.31,NA,"curly",6.16,NA,"",NA,NA
"74A-S.O","7","4","A","S","0",NA,NA,"",3.65,NA,"",2.67,NA,"",NA,NA
"74A-W.I","7","4","A","W","1",NA,NA,"",2.65,NA,"",4.82,NA,"",NA,NA
